t,v,w
0,0.100008528036766,9.41999621404237E-05
0.2,0.200017677923245,-3.65767158423422E-05
0.4,0.27292274869362,-3.30496165099836E-06
0.6,0.323832436437062,0.000248645210192
0.8,0.36227214315419,-0.000349350701139
1,0.395727087147659,-0.000603011100749
1.2,0.424712053004473,3.30050033253273E-05
1.4,0.445311744272738,-0.000204248173259
1.6,0.458885500644071,0.000271747970215
1.8,0.472789957953491,-0.000506372726794
2,0.479297275446652,0.000371926765665
2.2,0.487402831626539,1.50053043080003E-05
2.4,0.489901609712899,0.00076234049702
2.6,0.493170720141165,-9.21976407210713E-05
2.8,0.495807205061704,0.000811610706511
3,0.497656781803613,0.000636220065904
3.2,0.496534744131658,0.000711218580294
3.4,0.495548609835051,0.001219742929212
3.6,0.499187106454103,0.00334083854958
3.8,0.505224148779381,0.007528366574136
4,0.515852635424819,0.013738848035254
4.2,0.540384522509439,0.022893110015546
4.4,0.559009307016691,0.024797017986275
4.6,0.573532641624932,0.020787199215776
4.8,0.585335248966735,0.012137036407039
5,0.591543417954432,0.002639470231105
5.2,0.59361734379805,-0.006761400030519
5.4,0.594807098297436,-0.017654483108255
5.6,0.592451003795228,-0.026441942157948
5.8,0.585663676861612,-0.032879653201897
6,0.584967975268753,-0.047549739425742
6.2,0.584666891495381,-0.059804244597457
6.4,0.583194386660634,-0.069377383035536
6.6,0.576265341519998,-0.071899096040574
6.8,0.564421561183908,-0.068395184737274
7,0.553745485530309,-0.063077431605985
7.2,0.542383425036313,-0.054705089594137
7.4,0.526018327402128,-0.041942959381264
7.6,0.50759152358865,-0.026791140824005
7.8,0.491106655884566,-0.008646713094867
8,0.476180420877115,0.010846174501617
8.2,0.460786672317554,0.040624460900541
8.4,0.446973796851955,0.073756100495313
8.6,0.433693571799619,0.110108378410677
8.8,0.422979691923413,0.149138471672131
9,0.416210438362032,0.209360064700584
9.2,0.40673559656929,0.255741311779372
9.4,0.398028166951571,0.301736958426761
9.6,0.387848410363671,0.346355244380937
9.8,0.377214442257805,0.387320270692702
10,0.366822249185477,0.424664003121933
10.2,0.357936152131659,0.455271268531763
10.4,0.35061942926431,0.479567741149394
10.6,0.345337730844938,0.495108895815922
10.8,0.342851701735376,0.5
11,0.344584924597256,0.5
11.2,0.350009807857666,0.5
11.4,0.359780002754901,0.5
11.6,0.374870743764994,0.5
11.8,0.394461316088546,0.490267004063237
12,0.416600493395894,0.471541465926289
12.2,0.442804896412678,0.44454981429319
12.4,0.470701852114054,0.412193650596559
12.6,0.500455921768173,0.381503066378414
12.8,0.527663047893685,0.355802129399769
13,0.548602866385598,0.342406671980664
13.2,0.572224554358094,0.321716762501312
13.4,0.586231665321993,0.309353499904837
13.6,0.596370561403674,0.304066305740032
13.8,0.602198798006328,0.311357206963802
14,0.606684798420891,0.332419136825615
14.2,0.609209635993886,0.362608289335424
14.4,0.610251365124992,0.394244093844348
14.6,0.608794821295988,0.433468375393735
14.8,0.607801181647391,0.464756825791007
15,0.604396420746689,0.488509562070422
15.2,0.600787401972128,0.5
15.4,0.599561529693674,0.5
15.6,0.601504582184398,0.5
15.8,0.605160545827906,0.499992975158382
16,0.615323614647304,0.483617405258276
16.2,0.630666008214808,0.449757575162326
16.4,0.648143159655806,0.408024895010086
16.6,0.663441179434737,0.357479395947911
16.8,0.670347039600801,0.299603360166
17,0.66219071052318,0.233860665733084
17.2,0.648873540079117,0.162223738075675
17.4,0.633213934210955,0.092723732400735
17.6,0.617137398200607,0.029779123979989
17.8,0.602517447425223,-0.024770938653376
18,0.58949122414297,-0.06680201730617
18.2,0.578163805549814,-0.099732683271035
18.4,0.567582847682233,-0.123616456060871
18.6,0.557632072784166,-0.138459496948037
18.8,0.547865333862985,-0.144317792407705
19,0.537607595705805,-0.142798858837972
19.2,0.527284146265803,-0.13229532308239
19.4,0.516694835180272,-0.122157781859211
19.6,0.518041113845981,-0.114047773446185
19.8,0.518460764710433,-0.103322490498944
20,0.541345688898587,-0.09661483528791
20.2,0.558961351613269,-0.081751637111406
20.4,0.573027444402353,-0.060777075893935
20.6,0.583888562862467,-0.036233483422606
20.8,0.589885529527849,-0.012875131344829
21,0.592091273174929,0.008373832045789
21.2,0.592394522322704,0.027073568067562
21.4,0.589519684437837,0.043921277558169
21.6,0.583439903484429,0.057224625574821
21.8,0.581646021944435,0.075997850646795
22,0.580647745075273,0.090444866956773
22.2,0.574909182120835,0.096229114725838
22.4,0.566029563931727,0.097160766024301
22.6,0.554980084284508,0.092397736185643
22.8,0.542365213821318,0.085254324698746
23,0.528210383992315,0.071103572331045
23.2,0.512277916042732,0.056552244269018
23.4,0.496062743801553,0.037596281123117
23.6,0.478451637641325,0.019368171992688
23.8,0.462599855956685,-0.002467527769183
24,0.446732099974854,-0.028479792757877
24.2,0.430644543203745,-0.053103786000412
24.4,0.416441657764085,-0.08277236755486
24.6,0.372777862415354,-0.12737927496136
24.8,0.370343151907692,-0.154008193411446
25,0.368493206484859,-0.258000730520568
25.2,0.366107383485515,-0.321473451810844
25.4,0.363507377108082,-0.377289927265524
25.6,0.363369356747026,-0.423284429191522
25.8,0.361083428507878,-0.458701132146441
26,0.360919119486885,-0.484693698244573
26.2,0.363395978867608,-0.499401976592688
26.4,0.366211016363078,-0.5
26.6,0.372106403922717,-0.5
26.8,0.381497040081773,-0.5
27,0.392498124282604,-0.5
27.2,0.407801267404403,-0.5
27.4,0.427246906652393,-0.5
27.6,0.451425433518284,-0.498461033326984
27.8,0.478594670789815,-0.488732400001
28,0.507621870941067,-0.47075684877782
28.2,0.537224620541583,-0.450877445176347
28.4,0.566647729627171,-0.429146024621316
28.6,0.592139583005909,-0.411648185501614
28.8,0.613465075220221,-0.396146195226372
29,0.628604811000713,-0.387175540369037
29.2,0.634251773420971,-0.385115893749471
29.4,0.638139466636023,-0.387951585820666
29.6,0.640575373923308,-0.405765798479858
29.8,0.643164453544375,-0.432263711681557
30,0.646823349956229,-0.452140728888266
30.2,0.645790646017358,-0.476834275669413
30.4,0.648774433273206,-0.491694660922265
30.6,0.646557983819566,-0.5
30.8,0.648231766729016,-0.5
31,0.652559383066779,-0.5
31.2,0.661025215179477,-0.496287334262579
31.4,0.678094961083988,-0.483002090993716
31.6,0.698222572468531,-0.443052928626588
31.8,0.723619790964136,-0.394599611287095
32,0.752386804324865,-0.339134705031605
32.2,0.768856834591527,-0.276407008322958
32.4,0.786398681338491,-0.205085007040487
32.6,0.794869264107031,-0.128886239541585
32.8,0.793158070672218,-0.062715283580894
33,0.796997225938258,-0.000517034621176
33.2,0.797422839743023,0.049855974109771
33.4,0.799788786535121,0.090236420620842
33.6,0.803822289202505,0.119281363575794
33.8,0.807486456236936,0.134427600173212
34,0.805667669164107,0.135045812746665
34.2,0.804951453907564,0.129325068146703
34.4,0.804010587027897,0.115832856227554
34.6,0.798884698149442,0.097679975790412
34.8,0.794605147093445,0.078470549604641
35,0.790453486509766,0.058595023913418
35.2,0.785424723731275,0.039514047410415
35.4,0.777914604467981,0.022179805597492
35.6,0.770621965989498,0.007510064768184
35.8,0.763702369892558,-0.00438237928773
36,0.753843894171211,-0.013248836635343
36.2,0.744312175683388,-0.019248596824288
36.4,0.735114059066695,-0.02289276956843
36.6,0.722756372254952,-0.024432571252263
36.8,0.71082068187787,-0.024255956235087
37,0.699055395230297,-0.022813507957139
37.2,0.68411928168672,-0.020509765096944
37.4,0.669775960203952,-0.017723543458439
37.6,0.655574645564854,-0.014694540461531
37.8,0.638106893731801,-0.011681863966466
38,0.621068646178876,-0.008870993536821
38.2,0.601391366688648,-0.00631855255087
38.4,0.581945713336307,-0.004277567969482
38.6,0.559789150642944,-0.002643269694961
38.8,0.538218985157531,-0.001423871470382
39,0.514111730507979,-0.000608877367533
39.2,0.49059929063863,-0.000104329094212
39.4,0.46481356747341,0.000123137927565
39.6,0.439491763462733,0.00014781158361
39.8,0.412153001840914,3.09360223827275E-05
40,0.386360849772095,-0.000156521213062
40.2,0.357401866195585,-0.000369858970601
40.4,0.327126640948682,-0.000559395286589
40.6,0.300321273114233,-0.00070470012847
40.8,0.269015776640226,-0.000779050549922
